issue	log	session_started_at	turn_started_at	turn_completed_at	todo_to_progress_at	progress_to_review_at	progress_to_ai_review_at	ai_review_to_rework_at	ai_review_to_merging_at	review_to_merging_at	merging_to_done_at	merge_duration_ms	turn_duration_ms	input_tokens	output_tokens	total_tokens	last_input_tokens	last_output_tokens	last_total_tokens	token_events	total_flow_ms	dispatch_latency_ms	post_turn_handoff_ms	ai_review_ms	merge_state_ms	state_change_count	state_flow	command_events	plan_updates	agent_messages	final_messages	diff_updates	file_changes	workpad_updates	workpad_phases	workpad_bytes	workpad_lines	final_state	commit	changed_files	ai_review_result	success
ZEE-17	.symphony/logs/run-20260501-195659.jsonl	2026-05-01T19:57:10.174954+08:00	2026-05-01T19:57:10.207773+08:00	2026-05-01T19:57:58.722617+08:00	2026-05-01T19:57:03.605389+08:00		2026-05-01T19:58:03.301542+08:00		2026-05-01T19:58:04.722627+08:00		2026-05-01T19:58:07.758567+08:00	117	48514	240037	1183	241220	35120	154	35274	7	64153	6602	4579	1421	3036	4	Todo->In Progress > In Progress->AI Review > AI Review->Merging > Merging->Done	11		6	1	6	1					Done	07ea5bd	SMOKE.md	passed	true
ZEE-18	.symphony/logs/run-20260501-195920.jsonl	2026-05-01T19:59:31.138505+08:00	2026-05-01T19:59:31.172801+08:00	2026-05-01T20:00:42.62605+08:00	2026-05-01T19:59:25.335793+08:00		2026-05-01T20:00:47.448934+08:00		2026-05-01T20:00:48.994406+08:00		2026-05-01T20:00:52.496527+08:00	90	71452	489327	1912	491239	36291	136	36427	14	87161	5837	4823	1545	3502	4	Todo->In Progress > In Progress->AI Review > AI Review->Merging > Merging->Done	13	5	6	1	10	1					Done	586f5db	SMOKE.md	passed	true
ZEE-19	.symphony/logs/run-20260501-200530.jsonl	2026-05-01T20:05:39.976816+08:00	2026-05-01T20:05:40.0065+08:00	2026-05-01T20:06:54.406257+08:00	2026-05-01T20:05:35.075936+08:00		2026-05-01T20:06:59.027953+08:00		2026-05-01T20:07:00.418943+08:00		2026-05-01T20:07:03.251041+08:00	95	74399	408764	1515	410279	35135	158	35293	12	88175	4931	4622	1391	2832	4	Todo->In Progress > In Progress->AI Review > AI Review->Merging > Merging->Done	10	5	4	1	9	1					Done	cc2802a	SMOKE.md	passed	true
ZEE-20	.symphony/logs/run-20260501-203818.jsonl	2026-05-01T20:38:28.793008+08:00	2026-05-01T20:38:28.829295+08:00	2026-05-01T20:39:25.636863+08:00	2026-05-01T20:38:23.075669+08:00		2026-05-01T20:39:30.795274+08:00		2026-05-01T20:39:32.283359+08:00		2026-05-01T20:39:35.095311+08:00	93	56807	409592	1441	411033	35144	166	35310	12	72020	5754	5158	1488	2812	4	Todo->In Progress > In Progress->AI Review > AI Review->Merging > Merging->Done	10	4	6	1	9	1	4	initial,handoff,ai_review,merge_completed	1901	101	Done	eeff521	SMOKE.md	passed	true
ZEE-21	.symphony/logs/run-20260501-204223.jsonl	2026-05-01T20:42:32.019379+08:00	2026-05-01T20:42:32.066372+08:00	2026-05-01T20:43:42.619212+08:00	2026-05-01T20:42:27.391393+08:00		2026-05-01T20:43:48.295306+08:00		2026-05-01T20:43:49.812981+08:00		2026-05-01T20:43:52.865993+08:00	64	70552	446173	1713	447886	35562	164	35726	13	85475	4675	5676	1518	3053	4	Todo->In Progress > In Progress->AI Review > AI Review->Merging > Merging->Done	11	5	4	1	9	1	4	initial,handoff,ai_review,merge_completed	1901	101	Done	4a573a6	SMOKE.md	passed	true
ZEE-22	.symphony/logs/run-20260501-204906.jsonl	2026-05-01T20:49:15.445684+08:00	2026-05-01T20:49:15.508081+08:00	2026-05-01T20:50:25.654339+08:00	2026-05-01T20:49:10.424751+08:00		2026-05-01T20:50:29.805745+08:00		2026-05-01T20:50:31.193518+08:00		2026-05-01T20:50:34.267283+08:00	84	70147	455576	1950	457526	36723	146	36869	18	83843	5083	4151	1388	3074	4	Todo->In Progress > In Progress->AI Review > AI Review->Merging > Merging->Done	27	5	11	1	10	1	4	initial,handoff,ai_review,merge_completed	2675	120	Done	100feb6	SMOKE.md	passed	true
ZEE-23	.symphony/logs/run-20260501-205723.jsonl	2026-05-01T20:57:32.470372+08:00	2026-05-01T20:57:32.506019+08:00	2026-05-01T20:58:32.908227+08:00	2026-05-01T20:57:27.626829+08:00		2026-05-01T20:58:37.529182+08:00		2026-05-01T20:58:38.975543+08:00		2026-05-01T20:58:43.059802+08:00	81	60402	419252	1719	420971	36132	167	36299	12	75433	4879	4621	1446	4083	4	Todo->In Progress > In Progress->AI Review > AI Review->Merging > Merging->Done	11	5	6	1			4	initial,handoff,ai_review,merge_completed	3683	152	Done	75b1287	SMOKE.md	passed	true
ZEE-24	.symphony/logs/run-20260501-211219.jsonl	2026-05-01T21:12:30.415294+08:00	2026-05-01T21:12:30.458972+08:00	2026-05-01T21:13:20.685691+08:00	2026-05-01T21:12:23.768452+08:00		2026-05-01T21:13:25.254079+08:00		2026-05-01T21:13:26.749557+08:00		2026-05-01T21:13:30.004249+08:00	72	50226	204324	1184	205508	34947	241	35188	6	66236	6691	4568	1495	3255	4	Todo->In Progress > In Progress->AI Review > AI Review->Merging > Merging->Done	8		4	1	5	1	4	initial,handoff,ai_review,merge_completed	3683	152	Done	cba5500	SMOKE.md	passed	true
ZEE-25	.symphony/logs/run-20260501-211757.jsonl	2026-05-01T21:18:08.302988+08:00	2026-05-01T21:18:08.340627+08:00	2026-05-01T21:19:16.125605+08:00	2026-05-01T21:18:01.892027+08:00		2026-05-01T21:19:20.432491+08:00		2026-05-01T21:19:21.992741+08:00		2026-05-01T21:19:25.04568+08:00	106	67701	450550	1848	452398	36042	177	36219	13	83154	6449	4307	1560	3053	4	Todo->In Progress > In Progress->AI Review > AI Review->Merging > Merging->Done	12	5	6	1	10	1	4	initial,handoff,ai_review,merge_completed	3796	154	Done	dc251c3	SMOKE.md	passed	true
ZEE-26	.symphony/logs/run-20260501-212134.jsonl	2026-05-01T21:21:42.672647+08:00	2026-05-01T21:21:42.723344+08:00	2026-05-01T21:22:48.922013+08:00	2026-05-01T21:21:38.108729+08:00		2026-05-01T21:22:53.278288+08:00		2026-05-01T21:22:54.855713+08:00		2026-05-01T21:22:57.71301+08:00	91	66197	449253	1797	451050	35961	152	36113	13	79604	4615	4356	1577	2857	4	Todo->In Progress > In Progress->AI Review > AI Review->Merging > Merging->Done	12	5	4	1	9	1	4	initial,handoff,ai_review,merge_completed	3725	153	Done	c931f19	SMOKE.md	passed	true
ZEE-27	.symphony/logs/run-20260501-213452.jsonl	2026-05-01T21:35:01.444571+08:00	2026-05-01T21:35:01.485858+08:00	2026-05-01T21:36:03.509678+08:00	2026-05-01T21:34:56.649068+08:00		2026-05-01T21:36:08.001168+08:00		2026-05-01T21:36:09.474616+08:00		2026-05-01T21:36:12.626916+08:00	98	61890	238998	1237	240235	35174	237	35411	7	75978	4837	4491	1473	3152	4	Todo->In Progress > In Progress->AI Review > AI Review->Merging > Merging->Done	10		4	1	5	1	4	initial,handoff,ai_review,merge_completed	3725	153	Done	c6b3e36	SMOKE.md	passed	true
ZEE-28	.symphony/logs/run-20260501-213900.jsonl	2026-05-01T21:39:09.539565+08:00	2026-05-01T21:39:09.588263+08:00	2026-05-01T21:40:03.991261+08:00	2026-05-01T21:39:04.24677+08:00		2026-05-01T21:40:08.73267+08:00		2026-05-01T21:40:10.9699+08:00		2026-05-01T21:40:14.114326+08:00	94	54401	310984	1483	312467	36170	166	36336	9	69868	5341	4741	2237	3144	4	Todo->In Progress > In Progress->AI Review > AI Review->Merging > Merging->Done	11		7	1	7	1	4	initial,handoff,ai_review,merge_completed	3837	155	Done	1f459e9	SMOKE.md	passed	true
ZEE-29	.symphony/logs/run-20260501-215132.jsonl	2026-05-01T21:51:41.430738+08:00	2026-05-01T21:51:41.465307+08:00	2026-05-01T21:52:40.173561+08:00	2026-05-01T21:51:35.949165+08:00		2026-05-01T21:52:44.466339+08:00		2026-05-01T21:52:45.780057+08:00		2026-05-01T21:52:48.658995+08:00	142	58703	275544	1570	277114	36048	312	36360	14	72710	5516	4293	1314	2879	4	Todo->In Progress > In Progress->AI Review > AI Review->Merging > Merging->Done	25	1	9	1	6	1	4	initial,handoff,ai_review,merge_completed	3726	153	Done	2fcac6d	SMOKE.md	passed	true
ZEE-30	.symphony/logs/run-20260501-215438.jsonl	2026-05-01T21:54:47.245527+08:00	2026-05-01T21:54:47.279767+08:00	2026-05-01T21:55:46.417959+08:00	2026-05-01T21:54:42.430788+08:00		2026-05-01T21:55:51.114979+08:00		2026-05-01T21:55:52.497677+08:00		2026-05-01T21:55:55.610278+08:00	89	59136	385555	1740	387295	36323	157	36480	11	73179	4849	4697	1383	3113	4	Todo->In Progress > In Progress->AI Review > AI Review->Merging > Merging->Done	9	5	5	1			4	initial,handoff,ai_review,merge_completed	3837	155	Done	6d34221	SMOKE.md	passed	true
ZEE-31	.symphony/logs/run-20260501-215731.jsonl	2026-05-01T21:57:40.337422+08:00	2026-05-01T21:57:40.377239+08:00	2026-05-01T21:58:39.032072+08:00	2026-05-01T21:57:35.774355+08:00		2026-05-01T21:58:45.385785+08:00		2026-05-01T21:58:47.712629+08:00		2026-05-01T21:58:50.630462+08:00	90	58653	318016	1642	319658	36868	169	37037	9	74856	4603	6354	2327	2918	4	Todo->In Progress > In Progress->AI Review > AI Review->Merging > Merging->Done	13		6	1	7	1	4	initial,handoff,ai_review,merge_completed	3837	155	Done	9cada0e	SMOKE.md	passed	true
ZEE-32	.symphony/logs/run-20260501-221046.jsonl	2026-05-01T22:10:56.39856+08:00	2026-05-01T22:10:56.428299+08:00	2026-05-01T22:11:59.732959+08:00	2026-05-01T22:10:50.882275+08:00		2026-05-01T22:12:04.330239+08:00		2026-05-01T22:12:05.760039+08:00		2026-05-01T22:12:08.92021+08:00	138	63303	412919	1539	414458	35685	161	35846	12	78038	5546	4597	1430	3160	4	Todo->In Progress > In Progress->AI Review > AI Review->Merging > Merging->Done	11	5	4	1	9	1	4	initial,handoff,ai_review,merge_completed	3726	153	Done	0e6c519	SMOKE.md	passed	true
ZEE-33	.symphony/logs/run-20260501-222142.jsonl	2026-05-01T22:21:52.170794+08:00	2026-05-01T22:21:52.223585+08:00	2026-05-01T22:22:53.841417+08:00	2026-05-01T22:21:46.702694+08:00		2026-05-01T22:22:58.737915+08:00		2026-05-01T22:23:00.288224+08:00		2026-05-01T22:23:03.745716+08:00	120	61616	379793	1639	381432	35937	199	36136	11	77043	5521	4896	1550	3457	4	Todo->In Progress > In Progress->AI Review > AI Review->Merging > Merging->Done	12	4	4	1	8	1	4	initial,handoff,ai_review,merge_completed	3793	155	Done	9683baa	SMOKE.md	passed	true
